Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
7.61,2.79,0.72,1.243,K1III,14.838021,Dwarf
8.44,13.35,0.69,0.664,G5V,19.067406,Giant
8.83,4.1,0.72,0.448,F2V,16.893919,Giant
6.83,1.85,0.73,1.352,K1III,13.165859,Dwarf
8.47,21.93,1.73,0.666,G5V,20.175194,Giant
8.27,11.01,0.93,0.418,F3V,18.478937,Giant
7.2,1.91,0.53,0.014,B2IIIp,13.605167,Dwarf
8.75,3.35,1.19,0.25,B1/B2Ib/II,16.375225,Dwarf
7.86,4.05,0.74,0.182,A2/A3III,15.897276,Dwarf
9.24,20.78,1.75,0.817,K0V,20.828228,Giant
9.53,7.28,0.87,0.746,G6V,18.840656,Giant
9.03,7.31,1.11,0.38,A9V+...,18.349586,Giant
7.84,11.56,0.65,0.435,F2V,18.154789,Giant
9.44,16.85,0.89,0.838,G8/K0IV/V,20.572998,Giant
8.29,1.3,0.7,1.143,G6/G8III,13.859716,Dwarf
9.1,6.92,1.78,0.517,F5V,18.30053,Giant
7.73,6.95,0.79,0.435,F3IV/V,16.939924,Giant
7.57,7.68,0.99,0.407,F2IV/V,16.996805,Giant
7.22,6.86,0.61,0.215,A7V,16.40162,Giant
6.0,14.98,0.82,0.068,A2V,16.87756,Giant
6.01,7.13,0.72,1.128,K3III:,15.275448,Dwarf
7.43,5.34,0.81,1.061,K2III,16.067705,Dwarf
8.95,8.64,2.23,0.524,F5/F6V,18.632568,Giant
8.9,8.84,0.81,0.524,F6V,18.632261,Giant
8.98,2.03,1.26,-0.02,K1III,15.51748,Dwarf
9.05,2.62,1.31,0.54,F5IV,16.141506,Giant
6.5,10.85,0.8,0.128,A3Vnn,16.677149,Giant
6.47,7.13,0.8,0.029,A1V,15.735447,Giant
9.33,9.03,0.92,0.74,G3/G5IV/V,19.108438,Giant
8.22,18.94,1.62,0.645,G1V,19.6069,Giant
6.7,15.19,0.67,0.428,F5V,17.607788,Giant
7.79,6.58,1.0,0.177,A0IV,16.88113,Giant
8.66,-0.41,0.81,1.057,K1III,11.723919,Dwarf
9.22,2.55,1.5,0.993,G8IV,16.2527,Giant
8.26,4.69,1.06,1.067,K0III,16.615864,Dwarf
8.53,4.36,1.1,0.29,A9V,16.727432,Giant
6.42,17.8,0.53,0.55,F8V,17.6721,Giant
8.43,3.24,1.15,1.547,K3III,15.982725,Dwarf
7.82,4.84,1.15,1.071,G8III,16.244226,Dwarf
9.12,0.93,1.18,1.169,K1/K2III,13.962415,Dwarf
9.53,5.43,1.47,0.518,F8V,18.203999,Giant
6.69,35.14,1.91,0.68,G5V,19.419008,Giant
9.3,7.83,1.14,0.517,F8V,18.76881,Giant
8.48,1.78,1.26,1.14,G8III,14.7321,Dwarf
8.0,-0.03,1.22,1.894,K3III,5.3856063,Dwarf
7.58,2.44,0.59,-0.044,B9V,14.51695,Giant
9.93,3.89,1.88,0.73,G6/G8V,17.87975,Giant
5.48,20.69,0.78,0.932,G8IV,17.058804,Giant
6.19,5.43,0.79,0.01,B9.5V,14.864,Giant
5.78,4.43,0.83,-0.114,B1V...,14.01202,Giant
8.4,3.29,0.99,0.013,B9V,15.985979,Giant
8.54,-0.07,1.16,0.978,G8III,7.76549,Dwarf
8.61,2.0,1.05,1.006,K0III,15.11515,Dwarf
7.75,8.59,0.9,0.337,A8IV/V,17.419966,Giant
8.19,7.06,1.09,0.633,F8IV,17.434023,Giant
8.83,22.03,1.84,0.99,K3V,20.545073,Giant
8.09,3.98,0.94,0.141,A3/A4IV,16.089417,Giant
8.01,1.64,0.94,-0.028,B8/B9V,14.084219,Giant
9.03,14.36,0.87,0.656,G1V,19.815773,Giant
8.27,4.58,1.04,1.289,K3VCN...,16.57433,Giant
6.16,8.09,0.48,-0.032,A0IV/V,15.699742,Giant
8.62,1.84,1.18,0.109,B9V,14.944089,Giant
9.08,9.76,1.44,0.478,F3V,19.027248,Giant
5.85,7.34,0.82,-0.123,B7V,15.17848,Giant
8.54,0.46,0.87,0.18,B6V,11.853789,Giant
7.73,0.85,1.34,0.202,B1V,12.377094,Giant
9.6,14.45,3.07,1.2,G6V,20.39934,Giant
8.75,0.78,1.21,1.376,K3III,13.210473,Dwarf
6.47,2.86,0.99,0.344,A9III,13.75183,Dwarf
9.68,3.43,1.45,0.59,A5V...,17.35647,Giant
7.89,2.0,0.61,1.035,G3III,14.39515,Dwarf
8.22,2.6,1.25,0.885,G8III,15.294867,Dwarf
5.56,9.19,0.49,-0.042,A0V,15.376577,Giant
9.11,14.03,1.24,0.606,G2V,19.845287,Giant
7.94,7.31,1.13,0.534,F3IV,17.259586,Giant
7.6,6.26,0.97,0.127,A2IV,16.582872,Giant
7.41,4.56,0.9,0.291,A8IV,15.704824,Giant
6.11,6.65,0.52,0.265,A7IV,15.224108,Giant
7.92,9.24,0.89,0.543,F7V,17.74836,Giant
8.49,2.79,0.75,0.437,F0/F2V,15.718021,Giant
7.9,4.38,1.01,1.23,K2III,16.10737,Dwarf
8.39,-0.94,1.26,1.64,K5III,13.25564,Dwarf
8.98,8.15,1.38,0.465,F5V,18.535788,Giant
6.22,4.83,0.81,1.567,K5III,14.639734,Dwarf
8.37,2.27,0.75,1.645,M1III,15.150129,Dwarf
7.57,8.29,1.04,1.118,G9III,17.162773,Dwarf
5.67,3.43,0.55,1.664,M0III,13.34647,Dwarf
9.52,42.59,1.09,1.185,K7V,22.666538,Giant
6.73,6.3,1.46,0.063,A0V...,15.726704,Giant
7.82,8.16,1.19,0.287,A8V,17.37845,Giant
7.26,22.69,1.03,0.484,F6V,19.039173,Giant
8.0,1.64,1.02,1.688,K5III,14.074219,Dwarf
8.81,7.87,1.38,0.519,F5V,18.289875,Giant
8.15,0.37,1.06,1.522,K3IIICN...,10.991009,Dwarf
6.7,7.66,0.95,0.0,B9/B9.5V,16.121143,Giant
9.52,1.34,0.88,0.49,F8V,15.155524,Giant
6.75,4.22,0.87,0.168,A2V,14.876562,Giant
9.72,18.49,1.57,0.91,K3V,21.054684,Giant
5.29,12.69,0.63,0.002,A0Vn,15.807309,Giant
8.4,3.77,1.37,1.534,K3III,16.281708,Dwarf
8.95,2.82,1.23,1.382,K2V,16.201244,Giant
9.2,-1.49,1.48,0.126,A2/A3IV,15.065931,Giant
8.67,2.25,1.08,0.165,B7V,15.430912,Giant
8.38,19.22,2.1,0.607,G1V,19.798767,Giant
7.8,13.45,0.63,0.441,F5IV,18.443611,Giant
8.83,2.43,3.53,1.283,K2III,15.758032,Dwarf
9.69,16.75,1.51,0.772,K1:III:,20.810074,Dwarf
9.13,7.6,1.18,0.483,F6V,18.53407,Giant
7.9,5.91,0.89,0.469,F3/F5IV,16.757938,Giant
8.91,8.58,0.96,0.521,F6/F7V,18.577436,Giant
7.17,21.28,0.58,0.519,F6V,18.809858,Giant
7.32,27.38,0.82,0.652,G5V,19.507168,Giant
6.24,26.15,0.81,0.528,F7V,18.327358,Giant
8.79,6.46,0.94,0.347,F2/F3IV,17.841164,Giant
9.06,8.11,1.16,0.473,F3V,18.605106,Giant
3.92,26.79,0.77,0.228,F0III/IV,16.059864,Giant
7.49,1.85,0.92,1.633,K5III,13.825859,Dwarf
7.32,1.28,0.68,0.308,B5Ib,12.8560505,Dwarf
8.66,2.31,0.8,1.686,M2/M3III,15.47806,Dwarf
8.49,1.4,0.79,1.363,K5III,14.22064,Dwarf
6.81,26.02,0.68,0.501,F6V,18.886536,Giant
8.02,1.96,1.07,0.056,A0V,14.481281,Giant
8.64,3.06,0.75,1.171,K1III,16.068607,Dwarf
8.34,6.75,1.15,0.46,F2V,17.486519,Giant
8.21,4.3,0.85,-0.03,B8/B9V,16.377342,Giant
8.49,4.98,2.64,0.296,A7V,16.976147,Giant
9.07,0.53,1.38,1.38,K3III,12.691379,Dwarf
8.13,1.35,1.62,1.18,K2III,13.78167,Dwarf
8.77,3.84,0.85,-0.03,B9IV/Vn...,16.691658,Giant
10.88,-0.9,1.48,0.045,A0V,15.651213,Giant
9.38,9.25,1.38,0.648,G5V,19.210709,Giant
9.78,3.52,4.36,0.095,A0V,17.512712,Giant
6.69,3.28,0.79,-0.026,B8IIIp (Si),14.269369,Dwarf
6.67,7.36,0.72,0.102,A2IV,16.004389,Giant
10.15,8.38,1.75,0.628,G6V:,19.76622,Giant
7.67,2.41,1.48,-0.02,B6V+...,14.580086,Giant
6.98,10.73,0.81,0.508,F6V,17.132998,Giant
8.93,2.62,1.86,0.751,G6V,16.021507,Giant
8.19,3.96,1.49,0.397,A9/F0V,16.178476,Giant
9.35,11.91,1.59,0.607,G2V,19.729559,Giant
9.09,3.33,1.14,0.534,F8V,16.70222,Giant
7.1,19.98,1.04,0.568,G1V,18.602978,Giant
9.86,28.23,1.66,1.137,K5V,22.113552,Giant
7.58,3.86,0.93,1.27,K2III,15.512937,Dwarf
9.48,23.01,0.85,0.865,K1/K2V,21.289581,Giant
8.9,4.2,1.06,1.046,K0III,17.016247,Dwarf
6.36,7.25,0.72,0.01,A1V,15.66169,Giant
8.21,4.39,1.24,0.373,F3III/IV,16.422321,Giant
9.14,16.21,1.35,0.724,G2V,20.188915,Giant
8.69,1.0,1.17,0.039,B8/B9IV,13.69,Giant
5.84,3.16,0.81,0.168,B2Ve,13.338436,Giant
8.96,8.27,2.32,0.45,F5V,18.547527,Giant
6.9,11.6,0.97,0.47,F7V,17.22229,Giant
6.7,3.59,0.96,1.339,K3III,14.475472,Dwarf
8.75,3.29,1.26,0.35,F5IV,16.33598,Giant
7.75,15.06,0.83,0.501,F6V,18.639126,Giant
7.39,2.65,0.66,-0.112,B6V,14.506229,Giant
5.65,9.42,1.17,0.013,A1V,15.520254,Giant
9.93,0.13,1.22,0.582,F5V,10.499717,Giant
9.1,6.19,3.26,0.484,F3:V+...,18.058453,Giant
8.7,-5.56,2.51,0.016,B1V,17.425373,Giant
8.7,5.18,1.04,0.42,F3V,17.271648,Giant
6.28,7.92,0.58,0.943,G6IV,15.773626,Giant
9.91,5.76,1.6,0.687,G3V,18.712112,Giant
8.39,2.9,0.98,0.12,A0V,15.70199,Giant
9.21,1.81,1.24,0.336,A3V,15.498392,Giant
8.36,3.51,1.01,-0.04,A0V,16.086536,Giant
7.74,2.08,0.71,1.11,K0III,14.330317,Dwarf
8.29,1.48,1.03,1.472,K2III,14.141309,Dwarf
8.54,1.42,1.08,0.952,G8III,14.301441,Dwarf
6.28,13.74,0.98,0.763,G3IV,16.969934,Giant
8.95,1.1,1.09,1.092,K0III,14.156963,Dwarf
7.96,7.71,1.08,0.453,F5V,17.395271,Giant
5.78,33.45,0.84,0.396,F2V,18.401981,Giant
8.03,1.48,1.53,0.16,B3IV,13.881309,Giant
6.7,8.51,0.89,0.333,F0IV,16.349648,Giant
7.92,9.71,1.13,0.411,F2V,17.856096,Giant
8.36,4.14,0.83,0.095,A1V,16.445002,Giant
8.37,4.78,0.96,0.96,G8IV,16.76714,Giant
7.7,7.68,2.37,0.41,F3IV/V,17.126804,Giant
9.35,6.44,2.81,0.403,A6IV,18.394428,Giant
8.84,4.33,1.24,0.206,A3V,17.02244,Giant
9.58,2.7,1.3,0.97,G9III,16.73682,Dwarf
6.52,6.14,0.51,-0.08,B7V,15.460842,Giant
9.38,7.23,1.55,0.465,F3/F5V,18.675692,Giant
7.36,6.87,0.84,0.353,F0IV,16.544785,Giant
8.36,0.39,2.08,0.434,F0V,11.315323,Giant
5.35,4.01,0.58,0.528,A4V comp SB,13.365723,Giant
6.18,20.03,0.71,0.544,F7IV-V,17.688406,Giant
8.86,7.64,1.17,0.351,F2V,18.275467,Giant
7.52,1.76,0.89,-0.096,B2V,13.747564,Giant
8.69,7.72,1.34,0.365,A5II,18.128086,Dwarf
8.1,16.67,0.65,0.554,F6V,19.209679,Giant
7.83,13.46,0.86,0.419,F3V,18.475225,Giant
7.44,19.19,0.89,0.735,G5IV,18.855375,Giant
7.88,4.02,0.74,1.216,K3IIICN...,15.901131,Dwarf
9.72,2.56,1.17,0.076,B9.5Vp...,16.7612,Giant
6.96,4.32,0.7,1.453,K3III,15.137419,Dwarf
9.26,2.19,1.46,0.321,A1V,15.962221,Giant
7.91,5.94,0.95,0.442,F0V,16.77893,Giant
6.9,16.66,0.98,0.432,F5III,18.008375,Dwarf
8.42,0.1,0.93,-0.157,B1.5Vn...,8.42,Giant
6.18,17.35,0.78,0.166,A3V,17.376497,Giant
7.54,9.25,0.89,0.172,A3IV/V,17.370708,Giant
8.14,5.25,0.99,0.343,F0V,16.740797,Giant
8.09,5.82,0.86,0.446,F5IV,16.914616,Giant
9.74,0.24,1.05,0.136,A1V,11.641056,Giant
9.44,5.75,1.58,0.651,G3V,18.238338,Giant
9.11,-2.04,2.06,0.5,B8/B9V,15.658151,Giant
9.78,4.12,1.95,0.381,F5V,17.854485,Giant
7.47,15.08,0.88,0.468,F6V,18.362007,Giant
4.24,119.46,0.83,0.588,G0V,19.626114,Giant
8.8,4.98,1.46,1.036,G8IV,17.286148,Giant
7.6,15.69,0.91,0.49,F5V,18.578115,Giant
8.31,1.05,1.01,-0.02,B8IV,13.415947,Giant
6.57,9.12,1.0,1.181,K1III,16.369974,Dwarf
8.48,7.66,0.76,0.557,F8V,17.901142,Giant
8.4,2.59,1.11,1.14,K1III,15.466498,Dwarf
7.58,9.54,0.73,0.491,F6IV/V,17.477741,Giant
9.47,0.51,1.38,1.197,G8/K0IV/V,13.007851,Giant
8.59,0.84,1.07,1.156,K0III,13.211397,Dwarf
7.01,2.61,0.98,1.924,K3/K4III,14.093203,Dwarf
7.62,17.21,0.76,0.758,G5IV/V,18.798904,Giant
7.01,18.34,0.86,0.423,F3V,18.326996,Giant
9.11,5.74,1.58,0.373,F2/F3V,17.90456,Giant
8.52,10.11,1.51,0.596,G0V,18.543756,Giant
8.8,-0.32,0.97,0.022,B0.5III,11.32575,Dwarf
7.36,7.96,0.62,0.061,A1/A2V,16.864565,Giant
7.93,14.74,1.48,0.577,G2V,18.772488,Giant
9.96,5.97,1.58,0.563,G2V,18.83987,Giant
9.74,20.58,1.56,0.976,K3V,21.307226,Giant
8.37,8.91,1.49,0.508,F5V,18.119389,Giant
9.84,3.97,0.96,0.377,F2/F3IV/V,17.833954,Giant
9.13,2.9,1.36,0.2,A3III,16.44199,Dwarf
8.52,3.11,0.75,1.05,K0III,15.983803,Dwarf
9.64,3.57,1.54,0.202,A0V,17.403341,Giant
8.54,43.91,1.17,1.05,K3V,21.752815,Giant
6.17,8.58,0.93,-0.046,B8V,15.837437,Giant
7.65,7.45,0.61,0.174,A3V,17.010782,Giant
6.94,2.7,1.11,1.76,K3III,14.096819,Dwarf
7.83,1.1,0.94,-0.017,B8/B9II,13.036963,Dwarf
9.43,9.76,0.85,0.534,G1V,19.37725,Giant
6.96,2.96,0.83,1.519,K3III,14.316459,Dwarf
9.27,0.32,2.76,1.75,K3V,11.79575,Giant
9.13,2.28,0.96,1.507,K1/K2III:,15.919674,Dwarf
10.49,5.82,1.92,0.323,F0IV/V,19.314613,Giant
6.75,5.7,0.57,1.064,K1III,15.529374,Dwarf
8.58,2.89,0.65,0.097,A1V,15.884489,Giant
5.89,6.32,0.54,-0.09,B7IV,14.893585,Giant
8.76,3.81,0.81,0.17,A2V,16.664625,Giant
8.29,3.55,1.18,1.027,K1III,16.041142,Dwarf
7.13,25.94,0.97,0.679,G6V,19.19985,Giant
8.3,0.87,1.0,1.603,M3III,12.997597,Dwarf
8.9,3.77,1.15,0.468,A9IV,16.781708,Giant
10.14,9.09,1.75,0.596,G0V,19.93282,Giant
8.62,7.29,1.02,0.387,F2V,17.933638,Giant
7.33,30.76,0.98,0.677,G5V,19.769932,Giant
0.45,22.68,0.57,-0.158,B3Vp,12.228215,Giant
8.11,2.78,0.79,-0.068,B8V,15.330224,Giant
8.02,16.25,0.63,0.542,F6V,19.074268,Giant
11.0,-0.28,2.06,0.134,B5III,13.23579,Dwarf
7.89,12.08,0.82,0.529,F7V,18.300335,Giant
8.58,3.81,1.19,1.217,K2III,16.484625,Dwarf
9.18,9.8,1.7,0.473,A0V,19.136131,Giant
9.53,0.46,1.52,0.466,F2V,12.843789,Giant
6.58,4.78,1.31,1.445,G8III-IV...,14.977139,Giant
6.98,22.55,1.04,0.507,F7V,18.745733,Giant
8.64,3.94,1.27,0.305,F2V,16.617481,Giant
10.23,7.89,10.13,0.476,F3/F5V,19.715385,Giant
5.78,6.76,0.9,-0.024,B9Vn,14.929733,Giant
8.72,18.52,0.89,0.672,G5III/IV:,20.058205,Giant
8.51,8.63,1.13,0.397,F4IV,18.190054,Giant
9.05,3.91,1.29,1.022,K0III,17.010883,Dwarf
8.79,5.1,0.88,0.345,F2V,17.32785,Giant
8.65,8.66,1.18,1.097,K2III,18.33759,Dwarf
7.19,3.43,0.91,0.578,K1III+...,14.86647,Dwarf
7.51,2.08,0.82,0.997,K0II,14.100317,Dwarf
9.39,4.35,1.03,0.064,A0V,17.582447,Giant
8.25,1.13,1.06,0.971,G9III,13.515392,Dwarf
6.08,5.99,0.86,1.608,K2.5Ib,14.967134,Dwarf
8.93,4.19,1.17,0.994,G9III,17.04107,Dwarf
9.03,1.11,1.31,0.179,B8/B9IV,14.256615,Giant
7.11,2.79,0.58,1.289,K3III,14.338021,Dwarf
6.35,16.28,0.85,0.345,F3IV,17.408272,Giant
8.25,1.86,0.73,1.026,K0II,14.597565,Dwarf
8.47,1.64,0.67,-0.097,B6V,14.54422,Giant
8.17,9.04,1.01,0.523,F7V,17.950842,Giant
6.78,1.39,0.77,1.103,K4/K5III+..,12.495074,Dwarf
8.27,6.62,1.01,0.45,F5V,17.37429,Giant
9.33,1.96,1.39,0.934,G8IV/V,15.791281,Giant
7.75,24.27,0.86,0.73,G5IV+...,19.67535,Giant
9.12,6.0,0.82,0.314,A9V,18.010757,Giant
8.2,9.53,1.21,0.574,F8V,18.095463,Giant
9.16,8.46,1.22,0.673,G3V,18.796852,Giant
8.02,1.06,1.11,1.66,K4/K5III,13.14653,Dwarf
6.98,10.46,1.02,0.446,F3V,17.077658,Giant
9.48,6.29,1.0,0.563,F8/G0V,18.473251,Giant
8.53,14.91,0.83,0.524,F7V,19.397388,Giant
7.43,13.34,0.79,0.431,F3V,18.05578,Giant
8.0,9.03,1.18,1.022,K0IV/V,17.778439,Giant
6.99,28.2,0.68,0.553,F7V,19.241245,Giant
8.16,6.37,1.07,0.203,A2IV/V,17.180696,Giant
5.88,16.1,0.53,0.139,A2V,16.914127,Giant
8.47,7.03,1.06,0.402,F2V,17.704777,Giant
9.27,9.24,1.51,0.735,G5V,19.09836,Giant
8.9,8.78,1.32,0.445,F3V,18.617474,Giant
6.38,4.78,0.56,1.413,K5III,14.77714,Dwarf
7.91,1.92,1.11,1.155,G8III,14.326506,Dwarf
8.03,7.63,1.94,0.563,F8V,17.442623,Giant
5.63,23.08,0.5,0.671,F9V,17.446178,Giant
8.29,3.82,1.15,0.06,B9V,16.200317,Giant
8.23,28.95,0.92,0.734,G3/G5V,20.538242,Giant
8.65,6.11,1.1,0.512,F3/F5V,17.580206,Giant
6.83,6.66,0.99,0.021,B9.5V,15.947371,Giant
8.5,5.61,0.91,0.637,G2V,17.244814,Giant
6.42,12.87,0.61,0.404,F0IV,16.967894,Giant
9.08,3.36,1.21,0.944,G8IV,16.711697,Giant
9.0,2.59,1.06,0.151,B9.5IV,16.066498,Giant
8.99,12.91,0.76,0.592,G2V,19.54463,Giant
7.12,3.57,1.23,-0.12,B2.5IV-V,14.883341,Giant
8.86,20.52,1.49,0.98,K3V,20.420887,Giant
8.65,13.88,0.74,0.552,F8/G0V,19.361946,Giant
9.19,2.92,1.22,0.868,G8III:+...,16.516914,Dwarf
7.12,26.61,1.13,0.564,G0V,19.245224,Giant
7.74,6.28,0.7,0.287,A8IV,16.729797,Giant
7.91,2.99,2.36,-0.014,B6V,15.288356,Giant
8.09,2.6,0.91,-0.036,B7III,15.164867,Dwarf
7.56,1.93,0.87,1.64,M2III,13.987786,Dwarf
10.32,-4.51,2.63,0.419,F0V,18.590881,Giant
9.02,3.93,1.23,1.003,G8/K0IVp...,16.991962,Giant
7.87,9.31,0.82,0.23,A7Vn,17.714748,Giant
7.0,6.01,0.86,1.057,G8/K0III,15.894373,Dwarf
7.81,19.04,0.97,0.493,F6V,19.208334,Giant
7.82,3.03,1.01,0.465,F5III/IV,15.227213,Giant
9.12,6.39,1.24,0.884,G8IV,18.147503,Giant
8.72,14.98,5.85,0.584,G0V,19.59756,Giant
8.67,15.36,1.12,0.65,F8/G0V,19.601957,Giant
9.8,9.73,1.95,0.644,G3V,19.740564,Giant
10.11,101.91,1.67,1.5,M2Ve,25.151085,Giant
9.28,26.35,0.95,0.974,K3V,21.383904,Giant
8.16,2.46,0.72,-0.016,A0V,15.1146755,Giant
10.95,2.5,2.25,1.043,K0III,17.939701,Dwarf
8.47,2.47,0.75,-0.011,B8II,15.433485,Dwarf
9.21,38.92,1.38,1.16,K4V,22.160864,Giant
7.85,7.57,1.06,0.561,F7V,17.24548,Giant
7.78,7.65,1.17,0.94,K0III,17.198307,Dwarf
9.06,6.0,1.23,0.396,F2V,17.950756,Giant
5.04,17.54,0.62,0.031,A1V,16.260147,Giant
5.91,7.36,0.65,-0.009,A1V,15.244389,Giant
7.04,7.5,0.84,1.06,K1III,16.415306,Dwarf
8.41,1.88,0.96,1.486,K3III,14.780789,Dwarf
8.36,10.16,1.15,0.97,K0III,18.394466,Dwarf
9.52,20.92,1.67,0.925,K3IV,21.122808,Giant
8.82,3.87,1.09,0.42,F0/F2IV,16.758554,Giant
6.36,4.54,0.9,0.935,G8III,14.645279,Dwarf
9.15,10.2,1.28,0.674,G5V,19.193,Giant
6.14,12.79,0.95,0.087,A1V,16.674353,Giant
9.8,11.47,1.59,0.845,G8/K0V:,20.097816,Giant
7.58,3.83,0.82,1.271,K2III,15.495994,Dwarf
8.59,1.51,0.89,1.67,M0/M1III:,14.484885,Dwarf
8.29,4.75,0.68,0.035,A0V,16.67347,Giant
8.34,17.0,0.82,0.619,G4V,19.492245,Giant
8.95,25.39,1.43,0.866,G8V,20.973312,Giant
8.3,9.75,1.17,0.528,F5V,18.245022,Giant
10.31,2.23,1.52,-0.085,B7/B8III/IV,17.051525,Giant
9.17,5.19,1.51,0.546,F5V,17.745836,Giant
7.31,4.49,0.94,1.075,K1IIICN...,15.571232,Dwarf
9.19,9.35,2.89,0.568,G3V,19.044058,Giant
8.81,2.49,2.63,0.72,G2V,15.790997,Giant
9.07,2.49,1.37,1.452,K3III,16.050997,Dwarf
9.67,11.38,1.47,0.701,G6/G8V,19.950712,Giant
8.85,4.32,2.34,0.63,G0V,17.02742,Giant
8.08,0.42,1.05,0.589,B1II:,11.196246,Dwarf
7.54,9.78,0.82,0.457,F3V,17.491695,Giant
8.52,1.94,1.02,1.097,G8/K0Ib/II,14.959009,Dwarf
6.22,4.17,0.67,-0.073,B7/B8V,14.320681,Giant
5.94,7.32,0.92,0.052,B9.5V,15.262556,Giant
8.92,19.12,1.25,0.76,G8V,20.32744,Giant
8.58,5.78,0.7,0.389,F0V,17.389639,Giant
7.31,4.25,0.92,0.043,A0IV/V,15.451944,Giant
8.59,3.9,1.09,0.483,F3V,16.545322,Giant
9.03,3.94,1.13,0.219,A3V,17.00748,Giant
6.07,4.17,0.9,-0.016,A1V,14.170681,Giant
9.24,13.58,1.52,0.636,G2V,19.9045,Giant
8.56,14.1,1.12,0.62,G1V,19.306095,Giant
6.0,20.0,0.94,0.418,F5V,17.50515,Giant
8.37,13.92,0.8,0.526,F7V,19.088196,Giant
9.55,3.82,2.17,0.474,F5V,17.460318,Giant
6.64,13.07,0.63,0.369,F1IV,17.221378,Giant
6.75,41.05,0.59,0.586,G3V,19.816566,Giant
7.73,6.39,0.68,0.927,G8IV,16.757504,Giant
8.38,3.44,1.07,-0.075,B8V,16.062792,Giant
9.62,6.81,1.41,0.49,G2/G3V,18.785736,Giant
9.18,9.84,1.47,0.47,F5V,19.144976,Giant
6.56,4.96,0.53,0.882,G5III,15.037409,Dwarf
8.14,26.47,2.1,0.838,K0V,20.253769,Giant
5.57,6.72,0.79,-0.058,B9V,14.706846,Giant
8.75,7.02,0.94,0.491,F5V,17.981686,Giant
5.97,8.26,0.57,0.974,G3V,15.554899,Giant
8.04,1.42,0.86,1.507,K4III,13.801441,Dwarf
9.47,3.24,1.49,0.367,A9V,17.022724,Giant
9.38,5.98,1.58,0.692,G3V,18.263506,Giant
8.45,3.26,1.11,-0.005,B9III/IV,16.016088,Giant
8.0,7.08,0.91,0.839,G6IV,17.250166,Giant
9.51,4.23,1.63,0.446,F2/F3V,17.641703,Giant
6.31,9.88,0.76,0.135,A5IV,16.283785,Giant
8.88,2.68,0.82,0.127,B9.5V,16.020674,Giant
9.18,2.16,1.59,0.981,K0III,15.852269,Dwarf
8.07,3.87,0.79,0.214,A7V,16.008554,Giant
6.81,28.91,0.73,0.596,G3IV,19.11524,Giant
8.29,5.28,0.77,0.362,F2V,16.90317,Giant
7.37,11.46,0.84,0.422,F5IV,17.665924,Giant
7.54,5.81,0.89,1.203,K2IVCN...,16.360882,Giant
7.44,1.54,0.96,1.518,K2III,13.377604,Dwarf
8.13,0.99,1.34,0.099,B9IV,13.108176,Giant
9.18,10.86,3.11,0.81,K2V SB,19.35915,Giant
8.08,2.42,0.67,0.923,G8IV,14.999077,Giant
8.88,6.67,3.02,0.5,F7IV-V,18.00063,Giant
6.2,8.81,0.98,-0.027,B9/B9.5V,15.924879,Giant
9.02,3.41,1.07,0.14,A1V,16.683773,Giant
5.43,13.05,1.02,0.118,A4V,16.008053,Giant
4.25,8.39,0.79,1.55,K5III,13.86881,Dwarf
9.61,3.35,1.54,0.536,G0Vw,17.235224,Giant
7.07,3.72,2.69,0.647,F7V,14.922714,Giant
10.4,0.15,2.24,0.41,F2V,11.280457,Giant
7.8,4.35,0.87,0.004,B9V,15.992446,Giant
8.8,7.42,0.76,0.454,F3V,18.15202,Giant
7.97,14.93,1.28,0.571,G1IV,18.8403,Giant
9.21,1.46,1.31,1.19,M6IIIvar,15.031765,Dwarf
7.41,6.28,2.01,1.049,K0III,16.3998,Dwarf
9.05,131.12,1.29,1.493,M1V,24.638344,Giant
8.21,2.99,0.84,1.161,K1III,15.588356,Dwarf
7.68,3.35,1.33,0.049,A0V,15.305223,Giant
7.79,0.38,0.84,0.244,B5IV,10.688917,Giant
7.82,3.69,0.64,-0.079,B8V,15.655132,Giant
6.58,11.33,0.94,0.144,A3V,16.85115,Giant
8.29,13.14,0.97,0.488,F6V,18.882977,Giant
7.71,3.76,1.12,0.115,A0III/IV,15.585939,Giant
9.45,11.47,0.95,0.661,G2V,19.747818,Giant
8.72,1.29,1.07,0.146,A0V,14.272949,Giant
9.32,2.22,1.32,1.118,K0IV,16.051765,Giant
9.63,14.15,1.63,0.74,G6V,20.383781,Giant
9.52,3.6,1.42,0.378,F0V,17.301514,Giant
6.16,6.85,0.84,0.018,A1V,15.338452,Giant
6.02,18.19,0.57,0.321,F2.5III-IV,17.319164,Giant
8.11,5.17,1.74,1.031,K0III/IV,16.677452,Giant
5.48,4.07,0.52,-0.175,B2V,13.527971,Giant
7.92,3.27,0.98,-0.081,B9/B9.5V,15.492739,Giant
8.9,6.94,0.78,0.52,F5V,18.106796,Giant
7.66,4.94,0.68,0.367,F0IV/V,16.128635,Giant
6.89,0.6,0.6,-0.143,B5III,10.780756,Dwarf
9.25,15.33,2.74,0.773,G8V,20.177711,Giant
7.88,2.25,0.7,1.717,M0III,14.640913,Dwarf
8.3,4.97,0.86,0.314,A6:IIw...,16.78178,Dwarf
8.22,10.18,1.01,0.385,F3V,18.25874,Giant
7.9,2.18,0.7,-0.113,B4III,14.592283,Dwarf
